timestamp,DE_50hertz_load_actual_entsoe_transparency,DE_50hertz_solar_generation_actual,DE_50hertz_wind_generation_actual
2020-07-02T21:00:00+0200,10511.5,55,1231.09
2020-07-02T21:15:00+0200,10351.6,17,1300.47
2020-07-02T21:30:00+0200,10341.3,2,1310.23
2020-07-02T21:45:00+0200,10427.9,0,1316.9
2020-07-02T22:00:00+0200,10841.2,0,1030.26
2020-07-02T22:15:00+0200,10455.8,0,988.68
2020-07-02T22:30:00+0200,10200.4,0,921.34
2020-07-02T22:45:00+0200,9789.73,0,970.81
2020-07-02T23:00:00+0200,9476.53,0,1225.58
2020-07-02T23:15:00+0200,9311.07,0,1480.55
2020-07-02T23:30:00+0200,9392.93,0,1424.12
2020-07-02T23:45:00+0200,9205.4,0,1443.2
2020-07-03T00:00:00+0200,8834.4,0,1549.43
2020-07-03T00:15:00+0200,8856.13,0,1563.91
2020-07-03T00:30:00+0200,8651.8,0,1586.79
2020-07-03T00:45:00+0200,8610.13,0,1644.44
2020-07-03T01:00:00+0200,8717,0,1722.39
2020-07-03T01:15:00+0200,8617.07,0,1801.77
2020-07-03T01:30:00+0200,8536.2,0,1917.16
2020-07-03T01:45:00+0200,8412.33,0,2020.97
2020-07-03T02:00:00+0200,8365.46,0,2205.5
2020-07-03T02:15:00+0200,8455.73,0,2354.67
2020-07-03T02:30:00+0200,8575.33,0,2382.58
2020-07-03T02:45:00+0200,8316,0,2500.69
2020-07-03T03:00:00+0200,8453.2,0,2545.9
2020-07-03T03:15:00+0200,8398,0,2600.72
2020-07-03T03:30:00+0200,8436.93,0,2828.37
2020-07-03T03:45:00+0200,8613.73,0,2809.03
2020-07-03T04:00:00+0200,8417.2,0,2810.68
2020-07-03T04:15:00+0200,8641.66,0,2858.51
2020-07-03T04:30:00+0200,8804.8,1,2766.08
2020-07-03T04:45:00+0200,8784.73,4,2815.17
2020-07-03T05:00:00+0200,8853.46,32,2718.75
2020-07-03T05:15:00+0200,8896.87,90,2595.17
2020-07-03T05:30:00+0200,9140.53,158,2524.6
2020-07-03T05:45:00+0200,9135.46,244,2535.98
2020-07-03T06:00:00+0200,9311.6,371,2577.22
2020-07-03T06:15:00+0200,9412.4,500,2469.76
2020-07-03T06:30:00+0200,9735.27,692,2495.36
2020-07-03T06:45:00+0200,10070.5,940,2372.93
2020-07-03T07:00:00+0200,9975.33,1231,2210.64
2020-07-03T07:15:00+0200,10184.5,1579,2123.83
2020-07-03T07:30:00+0200,10403.1,1916,1952.67
2020-07-03T07:45:00+0200,10513.8,2295,1906.71
2020-07-03T08:00:00+0200,10590.5,2670,1900.43
2020-07-03T08:15:00+0200,10567.5,3047,1878.61
2020-07-03T08:30:00+0200,10740.8,3447,1893.75
2020-07-03T08:45:00+0200,10830.6,3943,1941.23
2020-07-03T09:00:00+0200,11015.3,4316,1979.66
2020-07-03T09:15:00+0200,11122.7,4640,2030.13
2020-07-03T09:30:00+0200,11405.8,5023,2049.14
2020-07-03T09:45:00+0200,11570,5280,2041.67
2020-07-03T10:00:00+0200,11552.2,5529,2092.68
2020-07-03T10:15:00+0200,11627.9,5640,2114.12
2020-07-03T10:30:00+0200,11986.8,5871,2108.39
2020-07-03T10:45:00+0200,11890.4,5978,2168.54
2020-07-03T11:00:00+0200,12425.1,5993,2235.23
2020-07-03T11:15:00+0200,12594.5,6030,2300.85
2020-07-03T11:30:00+0200,12453.8,5899,2521.92
2020-07-03T11:45:00+0200,12739.4,5899,2643.88
2020-07-03T12:00:00+0200,12599.1,5906,2656.94
2020-07-03T12:15:00+0200,12486.2,5660,2711.98
2020-07-03T12:30:00+0200,12446.5,5587,2740.41
2020-07-03T12:45:00+0200,11823.7,5619,2845.33
2020-07-03T13:00:00+0200,11802.7,5669,2994.84
2020-07-03T13:15:00+0200,11617.9,5787,3062.6
2020-07-03T13:30:00+0200,11339.1,5629,3055.12
2020-07-03T13:45:00+0200,11300.3,5628,3173.74
2020-07-03T14:00:00+0200,11344.3,5740,3437.11
2020-07-03T14:15:00+0200,11405.3,5775,3344.84
2020-07-03T14:30:00+0200,11311.1,5638,3388.69
2020-07-03T14:45:00+0200,11192,5773,3352.65
2020-07-03T15:00:00+0200,11468.2,5659,3312.67
2020-07-03T15:15:00+0200,11426.7,5607,3335.9
2020-07-03T15:30:00+0200,11402,5435,3487.81
2020-07-03T15:45:00+0200,11562.8,5162,3499.1
2020-07-03T16:00:00+0200,11593.6,5139,3350.53
2020-07-03T16:15:00+0200,11398.8,4919,3489.32
2020-07-03T16:30:00+0200,11265.1,4716,3274.06
2020-07-03T16:45:00+0200,11355.5,4714,3265.49
